iter	Logloss
0	0.691402059811	0.690549318222	0.689252293
3	0.6873405993
4	0.6857393065
5	0.6847471774
6	0.683653930177	0.6822545108	0.6813557682
9	9	0.6784703091010	0.6770877731111	0.6756902312	12	0.6743476113	13	0.6730658814	14	0.6715777715	15	0.6701381316	16	0.6687909417	17	0.6668072818	18	0.6657354219	19	0.6647683420	20	0.663727722121	0.6624641312222	0.6618471823	23	0.6604966824	0.6616460196
25	0.6601207767
26	26	0.6564367827	27	0.65457843228	0.6534551726229	0.6519564676330	0.6508781921331	0.6497989458332	0.648124174
33	0.6465807748
34	0.6456825461
35	0.6443212703
36	0.6433339713
37	0.6422108343
38	0.6417685131
39	0.6408045264
40	0.6398661968
41	0.6389345921
42	0.6380764278
43	0.6370404932
44	0.6356696565
45	0.6334793016
46	0.6323158346
47	0.6319568243
48	0.6309246221
49	0.6298858719
50	0.6285469042
51	0.6273060802
52	0.6262399585
53	0.6249718907
54	0.6235304183
55	0.6220923533
56	0.6208226011
57	0.6195198391
58	0.6186637927
59	0.6176493915
60	0.6160076722
61	0.614955438
62	0.6138316596
63	0.6127697977
64	0.6117622005
65	0.6106463707
66	0.6095536638
67	0.6085103083
68	0.6074578307
69	0.6060163987
70	0.6047915505
71	0.6037535783
72	0.6022710276
73	0.6011036007
74	0.6001416235
75	0.599096175
76	0.5980040544
77	0.5970207995
78	0.5960200342
79	0.5950444142
80	0.5937657032
81	0.5923705959
82	0.5914715026
83	0.5905097821
84	0.5893619174
85	0.5878171258
86	0.5865501344
87	0.5853192668
88	0.5844397466
89	0.5833832645
90	0.582201464
91	0.5812556298
92	0.5801768101
93	0.5793442582
94	0.5779289754
95	0.5770611973
96	0.5760556769
97	0.5753303315
98	0.5744105889
99	0.5737247836
100	0.5728564754
101	0.5719249392
102	0.5709171523
103	0.5697593586
104	0.5689185961
105	0.5679664978
106	0.5668795681
107	0.5657087165
108	0.5648313953
109	0.5638509154
110	0.5627808095
111	0.5617392815
112	0.5608429546
113	0.5598922302
114	0.5590533386
115	0.5579050571
116	0.5570310316
117	0.5562195742
118	0.5553087659
119	0.5542752848
120	0.5531530404
121	0.5519893812
122	0.5508438782
123	0.549507369
124	0.5481339373
125	0.5470210513
126	0.5459133625
127	0.5446994926
128	0.543772417
129	0.5427912753
130	0.5415710879
131	0.5403804488
132	0.5393285322
133	0.5384475747
134	0.5375889374
135	0.5368456688
136	0.5359569243
137	0.5350856787
138	0.5339328106
139	0.5330467146
140	0.532303452
141	0.5312994961
142	0.5307078995
143	0.5298606977
144	0.5291041856
145	0.5283367761
146	0.5272729737
147	0.5263614442
148	0.5254334429
149	0.5245551763
150	0.5238176822
151	0.5230867467
152	0.5219387668
153	0.5214152359
154	0.520667094
155	0.5198778124
156	0.5192988995
157	0.5182322306
158	0.5170502483
159	0.5162071976
160	0.5153701541
161	0.5147078571
162	0.5136725354
163	0.5122372229
164	0.5114816552
165	0.5107262494
166	0.5097303918
167	0.5092345021
168	0.5085521382
169	0.5077372621
170	0.5064392408
171	0.5057185127
172	0.5045849115
173	0.5036918313
174	0.5030029114
175	0.5026426201
176	0.5018554077
177	0.5011234699
178	0.5001161814
179	0.4991969216
180	0.4980865959
181	0.4973079653
182	0.4966121677
183	0.4958647208
184	0.495019285
185	0.4941123738
186	0.4934119147
187	0.492335527
188	0.4913335828
189	0.4903360554
190	0.4893032766
191	0.4884009328
192	0.4877347424
193	0.4868387741
194	0.4861686383
195	0.4850600175
196	0.484168151
197	0.4835792847
198	0.4827302699
199	0.4819687878
200	0.4808323323
201	0.480265966
202	0.4795744521
203	0.4790490808
204	0.4782874325
205	0.4772797986
206	0.4765155284
207	0.4758245422
208	0.474985162
209	0.4739135606
210	0.4733223478
211	0.4725804656
212	0.471738545
213	0.4711169647
214	0.4704275006
215	0.4699048461
216	0.4690016776
217	0.4682732827
218	0.4671765282
219	0.4663124533
220	0.465703322
221	0.4650602595
222	0.4644413955
223	0.4635603978
224	0.4629627403
225	0.4618747215
226	0.4613135063
227	0.4602255959
228	0.4598359899
229	0.4591811839
230	0.4583833489
231	0.457275657
232	0.4565805018
233	0.455814336
234	0.4553669594
235	0.4548215271
236	0.4542303701
237	0.4536192279
238	0.4528578483
239	0.4522887567
240	0.4516965888
241	0.4509489503
242	0.450292363
243	0.4496591986
244	0.4491835191
245	0.4487642465
246	0.4484699728
247	0.4477510785
248	0.4468013506
249	0.4464379555
250	0.4460226187
251	0.4453080754
252	0.4448657032
253	0.444064128
254	0.443401017
255	0.4427844631
256	0.4420019091
257	0.4416306332
258	0.4409024979
259	0.440154017
260	0.439403318
261	0.4388697271
262	0.4383980463
263	0.4375300132
264	0.4367957443
265	0.4364036164
266	0.4357189575
267	0.435293932
268	0.4346124428
269	0.433931218
270	0.4335878454
271	0.4328730023
272	0.4317688663
273	0.4310161495
274	0.4304331204
275	0.4296737188
276	0.4289521284
277	0.4283306137
278	0.4279961689
279	0.4274703891
280	0.4269465613
281	0.4263391473
282	0.4255143192
283	0.4247939507
284	0.424096763
285	0.4232936692
286	0.4226720701
287	0.42196975
288	0.4212922163
289	0.4206124654
290	0.4201376295
291	0.4195320306
292	0.4189342965
293	0.4184761621
294	0.4175668099
295	0.4171041359
296	0.4164842128
297	0.4159963411
298	0.4151905311
299	0.4146907171
300	0.4139169937
301	0.4135964183
302	0.4128767899
303	0.412467048
304	0.411934719
305	0.411355159
306	0.4110085072
307	0.4103582999
308	0.409556036
309	0.409049216
310	0.40850651
311	0.407954792
312	0.4074275206
313	0.4070041296
314	0.4065271408
315	0.4058250064
316	0.4053704015
317	0.4047436774
318	0.4039147721
319	0.4038160619
320	0.4033386361
321	0.4029929785
322	0.4024881362
323	0.4021092813
324	0.401563314
325	0.401065464
326	0.4005177134
327	0.3999833408
328	0.399393611
329	0.3989184618
330	0.3984277566
331	0.3979789594
332	0.3975162834
333	0.3968861751
334	0.3963210305
335	0.3954837271
336	0.3950330782
337	0.3946492275
338	0.3941261137
339	0.3935468517
340	0.3930220487
341	0.3924210987
342	0.3919624895
343	0.3914979506
344	0.3908733061
345	0.3905434
346	0.3899531901
347	0.3896002253
348	0.3889631624
349	0.3879771694
350	0.3873227436
351	0.3869588062
352	0.3864148228
353	0.3859095294
354	0.3853242639
355	0.3847219523
356	0.3839296329
357	0.3835926221
358	0.3831023815
359	0.3826999676
360	0.3823599897
361	0.3817158896
362	0.3811867545
363	0.3804189362
364	0.3800001217
365	0.379263053
366	0.3788373273
367	0.3781782158
368	0.377346919
369	0.3767760354
370	0.3763471718
371	0.3755622305
372	0.3748975841
373	0.3744198003
374	0.3740855802
375	0.3737729603
376	0.3734951882
377	0.3732397542
378	0.3725841389
379	0.3720338275
380	0.3714013923
381	0.3709918217
382	0.3706540083
383	0.3700893917
384	0.3697034022
385	0.3692442815
386	0.3684916958
387	0.3680572219
388	0.3676653991
389	0.3672567262
390	0.3667018931
391	0.3661157806
392	0.3655927074
393	0.3652443015
394	0.3647475478
